ID,Category,Severity,EvidenceLevel,Location,Finding,Impact,Recommendation
F-011,SECURITY,P2,CONFIRMED_BY_CODE,old-code-pc/src/main.js:38,前端将上传/下载能力挂到 window 或全局属性,全局暴露扩大误用面，权限与鉴权失败时难以追踪调用来源。,改为模块化 import 或组合式 hooks；下载前后端均校验文件归属。
F-012,SECURITY,P2,CONFIRMED_BY_CODE,old-code/docker/docker-compose.yml:40,配置文件中出现密码/密钥类配置项,即使是测试配置，进入仓库后也容易被误用或泄露。,迁移到环境变量/密钥管理；示例配置用占位符。
F-013,OPERABILITY,P2,CONFIRMED_BY_CODE,"old-code/logs, old-code/teaching-auth/logs, old-code/teaching-modules/teaching-competition/logs",仓库包含运行日志目录,日志包含服务注册、IP、SQL 异常和配置占位符，污染审计与归档包。,将 logs 加入忽略清单并清理历史提交；日志只进入运行环境。
F-014,SQL,P2,CONFIRMED_BY_CODE,old-code/teaching-modules/teaching-competition/src/main/resources/mapper/competition/AwardDetailsMapper.xml:53,Mapper 中存在大量 like concat 模糊查询,前置通配符会降低索引利用率，列表页数据量增大后易变慢。,为高频查询设计搜索字段/索引或引入检索方案；分页接口压测。
F-015,BACKEND_QUALITY,P2,CONFIRMED_BY_CODE,old-code/teaching-auth/src/main/java/com/teaching/auth/controller/TokenController.java:60,后端大量 catch(Exception) 粗粒度捕获,异常语义丢失，事务回滚和错误码难以稳定。,按业务异常、外部依赖异常、系统异常分层处理；避免吞异常。
F-016,BACKEND_QUALITY,P2,CONFIRMED_BY_CODE,old-code/teaching-auth/src/main/java/com/teaching/auth/TeachingAuthApplication.java:24,后端存在 System.out.println,绕过统一日志级别、链路追踪和脱敏策略。,统一改为日志框架，删除启动横幅之外的调试输出。
F-017,FRONTEND_QUALITY,P2,CONFIRMED_BY_CODE,"old-code-mini/pages/scene-resource/index.vue, old-code-mini/pages/my-credential/index.vue",小程序页面承担请求、状态、渲染、业务判断多重职责,页面变长后难以回归扫码、预约、证件等高频流程。,拆分 API hooks、业务状态机和展示组件；保留页面只做编排。
F-018,BUILD,P2,STATIC_INFERENCE,"old-code-admin/package.json, old-code-pc/package.json; old-code-mini 根目录未发现 package.json",前端多项目依赖和构建体系分散,管理端、PC、小程序版本策略不一致，易出现兼容问题。,建立前端依赖基线和构建矩阵；锁定 Node/npm/pnpm 版本。
F-019,BUILD,P2,CONFIRMED_BY_CODE,"old-code/.idea, old-code/bin, old-code-admin/dist, old-code-pc/node_modules",仓库工作区存在 IDE、构建和依赖目录,这些目录不应进入源代码包或审计统计，且可能掩盖真实变更。,确认 .gitignore 和归档脚本排除过程文件；若已入库需单独清理。
F-020,ARCHITECTURE,P2,CONFIRMED_BY_CODE,old-code/teaching-common/teaching-common-core/src/main/java/com/teaching/common/core/constant,common-core 承载业务枚举和支付状态,公共核心模块被业务常量污染，后续拆域困难。,将业务枚举迁移到领域模块或独立 contract 包。
F-021,BUSINESS_ALGORITHM,P2,STATIC_INFERENCE,old-code/teaching-modules/teaching-competition/src/main/java,证件、grant、operation_state、operation_log 状态事实源分散,扫码核验链路可能同时读取多个表的状态，历史兼容字段容易误用。,明确 operation_state 为操作事实、credential 为主体事实、log 为审计事实。
F-022,DATA_CONSISTENCY,P2,STATIC_INFERENCE,db/migration/20260702_competition_scene_credential_scope_p1.sql,operation_state DONE 唯一性需要复核,同一主体/日程/操作若可多条 DONE，会造成重复核验。,为 active/DONE 状态引入 active_key 或条件唯一索引。
F-023,DATA_CONSISTENCY,P2,STATIC_INFERENCE,db/migration/20260705_competition_scene_credential_scope_grant_pilot_p1.sql,active grant 唯一性需要按能力/范围校验,同一证件同一日程多条有效授权会导致权限判断不确定。,建立 credential_id + schedule_id + ability_code + active_key 唯一约束。
F-024,SQL,P2,STATIC_INFERENCE,old-code/teaching-modules/teaching-competition/src/main/resources/mapper/competition/AwardDetailsMapper.xml:48,Mapper XML 体量大且业务 SQL 分散,复杂 SQL 难以复用与压测，状态条件容易遗漏 deleted/del_flag。,对高频 Mapper 建立查询清单、索引说明和 SQL 单测。
F-025,TEST,P2,CONFIRMED_BY_CODE,old-code/teaching-modules/teaching-competition/src/test/java/com/teaching/competition/review/ReviewModulePhase1SmokeTest.java:76,已有评审/现场模块单测，但缺少端到端并发用例,预约、扫码、支付回调等并发路径不能靠普通单测覆盖。,新增并发集成测试和幂等重放测试，使用测试库读写隔离。
F-026,SECURITY,P2,STATIC_INFERENCE,"old-code/teaching-gateway, old-code/teaching-auth, controllers",权限策略横跨网关、认证、控制器注解,新增现场/评审接口时可能漏配菜单权限或放行规则。,为 Controller 生成权限清单并与 sys_menu migration 对账。
F-027,FRONTEND_QUALITY,P2,CONFIRMED_BY_CODE,tianda-miniprogram: NOT_FOUND; old-code-mini: audited,需求中的 tianda-miniprogram 目录未发现,若实际小程序代码不在本仓库，本轮无法审计该目录。,确认是否以 old-code-mini 代表小程序；若另有仓库需补充审计。
F-028,DEPLOYMENT,P2,STATIC_INFERENCE,"scripts/, old-code/docker, bootstrap*.yml",部署脚本、Docker、Nacos 配置来源分散,环境差异会导致发布/回滚不可复现。,统一配置模板、发布清单和回滚剧本；敏感配置只走环境变量。
F-029,BACKEND_QUALITY,P3,STATIC_INFERENCE,"old-code/teaching-modules/teaching-competition/domain, vo, dto",DTO/VO/Entity 命名边界不稳定,对象穿透层级后容易把数据库字段暴露给前端。,逐步引入请求/响应对象和转换层，先从高风险接口开始。
F-030,ARCHITECTURE,P3,STATIC_INFERENCE,"old-code/teaching-modules/teaching-system, teaching-competition review classes",新旧评审能力并存,历史表和新评审模块容易出现口径冲突。,冻结旧入口写入，建立迁移映射和只读兼容层。
F-031,BUILD,P3,STATIC_INFERENCE,pom.xml/package.json,未发现统一质量门禁报告,静态检查、依赖漏洞、测试覆盖率不可持续追踪。,建立 CI：编译、单测、lint、依赖扫描、关键 SQL 检查。
F-032,SQL,P3,CONFIRMED_BY_CODE,db/migration/*.sql,迁移脚本包含多个阶段性现场/评审变更,阶段性脚本多时，环境补丁顺序和回滚说明容易缺失。,补充 migration 索引、执行顺序和回滚/验证说明。
F-033,OPERABILITY,P3,STATIC_INFERENCE,scripts/review/*.py,评审 UAT 脚本直接处理数据库连接参数,运维脚本有助于验证，但需要避免误连生产。,脚本默认拒绝生产 host；要求显式 --env test/uat。
F-034,SECURITY,P3,STATIC_INFERENCE,"old-code-mini/utils/request.js, old-code-admin/src/utils/request.js",客户端 token 刷新和错误处理分散,不同端登录态过期体验和安全处理可能不一致。,统一 token 失效码、刷新策略和退出流程。
F-035,TEST,P3,CONFIRMED_BY_CODE,"old-code-admin, old-code-pc, old-code-mini",未发现前端测试目录,页面级风险依赖人工回归。,为关键页面增加组件测试或 Playwright 冒烟测试。
