layer,canonical_term,chinese_meaning,canonical_owner,db_or_state_evidence,code_or_api_evidence,human_facing_term,not_equal_to,status,note
Credential,CredentialIssue,已签发凭证事实,Credential,credential_issue,issueCredential,我的证书/证明,Award;Role;Participation,CURRENT,只证明持有人和既有事实
Credential,IssueLineage,签发来源和纠正链,Credential,credential_issue_lineage,Credential lifecycle,签发来源,当前展示状态,CURRENT_IMMUTABLE,保留历史来源不可重解释
Credential,CredentialToken,可验证展示或交换令牌,Credential,credential_token,verify token,核验码,Authorization token,CURRENT,Token Context不是Authorization
Credential,ConversionApplication,凭证转换申请,Credential,credential_conversion_application,conversion APIs,转换申请,CredentialIssue,CURRENT,支付成功后仍需Final Recheck
Credential,RecognitionDecision,某consumer对凭证的认可决定,Credential,credential_recognition_decision,recognize,认可结果,Verified;Trusted,CURRENT,不得全局传播为所有场景认可
Credential,TrustPolicyVersion,凭证信任规则版本,Credential,credential_trust_policy_version,trust APIs,信任规则,RecognitionDecision,CURRENT,Trust是策略不是事实源复制
Credential,Endorsement,第三方背书断言,Credential,credential_endorsement_assertion,endorsement APIs,背书,CredentialIssue,CURRENT,背书不直接改变原凭证事实
Learning,LearningCompletion,课程完成事实,Learning,learning_completion,LearningController,学习完成,Qualification;Credential,CURRENT,其他域只消费typed evidence
Exam,ExamResult,考试Owner解释的正式结果,Exam,exam_result,ExamController,考试结果,Qualification;Credential,CURRENT,不得被Mall或Credential直接写入
Mall,MallProduct,商城商品及typed binding入口,Mall,mall_product;mall_offer,MallController,商品,Credential/Learning事实,CURRENT,商品绑定不改变被售能力Owner
Mall,MallOrder,用户购买交易订单,Mall,mall_order;line,MallController,订单,PaymentOrder,CURRENT,订单状态与资金状态分离
Mall,Fulfillment,订单支付后的履约事实,Mall,mall_fulfillment,Mall fulfillment application,履约进度,Payment success;CredentialIssue,CURRENT,支付成功不等于履约成功
Finance,Payable,应收义务,Commerce Finance,commerce_payable_line,CommerceCustomerController,待缴费用,PaymentOrder,CURRENT,预览金额不是应收
Finance,PaymentOrder,支付流程与金额占用事实,Commerce Finance,commerce_payment_order,createOrder;refresh payment,支付订单,MallOrder;PaymentTransaction,CURRENT,UNKNOWN时禁止重复支付
Finance,PaymentTransaction,Provider交互的资金结果,Commerce Finance,commerce_payment_transaction;provider_callback,provider adapters,支付结果,业务履约,CURRENT,Provider结果不覆盖本地历史
Finance,RefundCase,退款申请和工作单,Commerce Finance,commerce_refund_application;work_order;attempt,refund APIs,退款进度,Invoice red-letter,CURRENT,退款与发票红冲是不同流程
Finance,InvoiceCase,开票申请与文档,Commerce Finance,commerce_invoice_application;document,invoice APIs,发票申请/电子票,PaymentOrder,CURRENT,正式文件引用ArtifactVersion
Finance,Reconciliation,账务差异识别与处置,Commerce Finance,commerce_reconciliation_run;item;resolution,reconciliation APIs,对账,支付状态,CURRENT,差异不能由前端压成成功
Communication,Conversation,客户或业务会话,Communication,communication_conversation,CommunicationController,消息会话,FeedbackCase,CURRENT,会话不是投诉案件
Communication,Message,会话中的消息事实,Communication,communication_conversation_message,sendMessage,消息,Notification;Feedback event,CURRENT,附件引用ArtifactVersion
Communication,Delivery,消息送达状态,Communication,communication_delivery_task,delivery query,已发送/已送达,Read state,CURRENT,Delivered不等于Read
Engagement,FeedbackCase,反馈投诉建议案件,Service Desk,feedback_case;feedback_case_event,EngagementController,反馈/投诉/建议,Conversation,CURRENT,Read/Delivered不等于Resolved
Engagement,SurveyFormVersion,问卷表单不可变版本,Service Desk / Survey,survey_form_version,EngagementController,问卷,Profile schema,CURRENT,发布版本不能被回答后原地改题
Engagement,SurveyResponse,Subject一次问卷响应事实,Service Desk / Survey,survey_response;snapshot,submitSurveyResponse,我的答卷,Subject Profile,CURRENT,答案不得倒灌为人员主数据
CMS,CmsWorkingDraft,内容编辑草稿,CMS,cms_article_working_draft;cms_page_working_draft,CmsAdminController,草稿,CmsPublishedVersion,CURRENT,可修改但不是公开事实
CMS,CmsPublishedVersion,已发布内容的不可变版本,CMS,cms_article_published_version;cms_page_published_version,CmsPublicController,已发布内容,WorkingDraft,CURRENT,公开读取只消费发布版本
Composition,OperationalCompositionRevision,运营页面面板组合版本,Operational Composition,operational_composition_revision;panel,OperationalCompositionAdminController,页面布局版本,BusinessDefinition,CURRENT,只组合Owner投影不拥有业务事实
Projection,WorkspaceProjection,多Owner任务的只读聚合,Application Projection,NONE,WorkspaceController;WorkspaceBoard,工作台,canonical fact,CURRENT_DERIVED,按钮可见不等于已授权
Projection,WalletProjection,凭证钱包只读聚合,Credential,NONE,credential wallet APIs,我的凭证,CredentialIssue,CURRENT_DERIVED,不创建第二份凭证事实
Projection,OpportunityProjection,凭证/商城机会的组合投影,Credential+Mall,NONE,opportunity APIs,可申请/可购买机会,价格或资格事实,CURRENT_DERIVED,价格来自Mall；资格来自Owner evidence
Platform Service,ConfigurationVersion,分范围配置的版本,Scoped Configuration,platform_configuration_version,ConfigurationAdminController,配置版本,业务事实,CURRENT,PLATFORM/TENANT/ORGANIZATION范围需明确
Platform Service,AuditEntry,谁何时对何对象做了什么的审计,Platform Audit,platform_audit_entry,AuditAdminController,操作记录,业务当前状态,CURRENT_APPEND_ONLY,审计不可反推State
Platform Service,DomainEvent,Owner发布的领域事件,Event / Task,platform_outbox_event,EventTask capability,事件,当前事实,CURRENT_APPEND_ONLY,事件是传播/历史契约
Platform Service,Task,可靠异步工作单元,Event / Task,platform_task;attempt;dead_letter,EventTaskAdminController,后台任务,业务终态,CURRENT_RUNTIME,READY LEASED RETRY_WAIT DEAD有独立语义
Platform Service,MetadataTerm,受治理字典项与标签,Metadata,metadata_term;alias;label,MetadataAdminController,数据字典项,业务实体,CURRENT,Metadata不得吸收领域事实
Platform Service,ProviderInstance,第三方Provider配置实例,Provider Operations,provider_instance;selection;readiness,ProviderOperationsAdminController,服务提供方,业务结果,CURRENT,Readiness只是运维证据
Platform Service,PluginDescriptor,编译期受治理扩展描述,Plugin Governance,plugin_definition;plugin_version,PluginGovernanceController,扩展能力,动态插件代码,CURRENT_CLOSED_FAMILY,九类封闭扩展族；无动态JAR/Remote UI
Platform Service,PrivacyRequest,数据主体隐私请求,Privacy Governance,privacy_request,PrivacyGovernanceController,隐私请求,直接删除Owner事实,CURRENT,由Privacy协调Owner执行
Platform Service,DataExchangeJob,受控数据导入导出任务,Data Exchange,data_exchange_job;row_result,DataExchangeAdminController,数据交换任务,业务Owner批量写,CURRENT,每行决定和回执保留
Platform Service,ProductAnalyticsAggregate,产品分析派生聚合,Platform Ecosystem,product_analytics_daily_projection,PlatformEcosystemController,使用分析,Authorization;Qualification;Participation,CURRENT_DERIVED,不得产生业务权利
Code Layer,Controller,HTTP协议适配入口,Owning Capability,NONE,*Controller;@RequestMapping,接口入口,业务规则Owner,CURRENT,负责校验协议形状和调用ApplicationService；不得直连Mapper
Code Layer,ApplicationService,用例编排与事务入口,Owning Capability,NONE,*ApplicationService,业务操作,Domain Policy;Repository,CURRENT,负责授权前置检查 Command编排 跨域Port和事务
Code Layer,Domain Policy,纯业务判定和状态规则,Owning Capability,NONE,*Policy;*StateMachines,业务规则,Controller条件分支,CURRENT,应避免框架和Infrastructure依赖
Code Layer,Command,改变Owner事实的明确意图,Owning Capability,command catalog,05-APPLICATION-COMMAND-CATALOG.csv,执行操作,通用CRUD状态更新,CURRENT,必须说明actor scope precondition state idempotency concurrency audit does_not
Code Layer,Query,读取Owner事实或受控Projection,Owner/Projection,NONE,06-APPLICATION-QUERY-CATALOG.csv,查看/查询,Command,CURRENT,必须说明source facts consistency masking cache
Code Layer,Port,跨域或外部依赖的稳定接口,Publishing/Consuming Owner,NONE,*Port;*Capability,能力契约,Mapper;内部Service,CURRENT,方向由bounded context map决定
Code Layer,Adapter,Port的基础设施或跨域实现,Consuming module,NONE,*Adapter,技术实现,Owner事实,CURRENT,不能在Adapter内重新定义领域状态
Code Layer,Repository,Domain/Application使用的持久化抽象,Owning Capability,owner tables,*Repository,数据存取,跨域表访问,CURRENT,实现位于infrastructure
Code Layer,Mapper,MyBatis等物理映射,Infrastructure,owner tables,*Mapper,数据库映射,Domain API,CURRENT,其他模块不得直接依赖
Code Layer,Projection,从多个Owner只读组合的展示模型,Projection owner,NONE,*Projection;Workspace*,页面数据,canonical fact,CURRENT_DERIVED,不得用于跨域写入
Code Layer,Policy,明确的规则或选择策略,Owning Capability,NONE,*Policy,规则,事实记录,CURRENT,Policy版本与执行结果应区分
Code Layer,Decision,一次受规则和证据约束的决定,Owning Capability,*_decision tables,*Decision,决定结果,Policy,CURRENT,复杂配置应产出可解释Decision
Code Layer,Event,不可变历史或跨域通知,Owning Capability,*_event;outbox,*Event,历史事件,当前状态,CURRENT_APPEND_ONLY,不能回放推断当前Focus/State除非Owner明确设计
Code Layer,Snapshot,某一时点冻结的输入/受众/花名册,Owning Capability,*_snapshot,*Snapshot,快照,主数据,CURRENT_IMMUTABLE,不得反向更新主事实
API,operationId,OpenAPI中的稳定操作标识,API Owner,202 current IDs,OpenAPI YAML,接口动作名,Controller方法名,CURRENT_PARTIAL,当前627个Controller operation中425个没有逐项operationId
API,Controller operation,实际Spring映射的HTTP操作,API Owner,627 operations,07-API-OPERATION-CAPABILITY-MAP.csv,接口,OpenAPI完整契约,CURRENT,Controller事实存在不代表已完整进入OpenAPI
API,Colon Action,资源上的明确Command动作,API Owner,NONE,POST /resource/{id}:publish 等,发布/撤销/确认,任意state字段PATCH,CURRENT,用于表达非CRUD状态迁移
API,/me,当前Session Subject的本人投影,API Owner,NONE,/api/v1/**/me,我的...,客户端subjectId,CURRENT,Subject必须由服务端会话解析
API,/admin,运营或治理入口,API Owner,NONE,/api/v1/admin/**,管理操作,前端是否显示按钮,CURRENT,仍需精确Permission与Scope
API,/public,无需业务Session的公开读取或受控回调,API Owner,NONE,/api/v1/public/**,公开信息,无安全边界,CURRENT,Provider回调仍需签名/实例校验
API,Idempotency-Key,高风险Command重复请求的语义键,Owning Capability,*_command_claim;*_dedup,request header;command catalog,防重复提交,数据库唯一约束,CURRENT,必须与fingerprint和业务结果绑定
API,Expected Version,乐观锁前置版本,Owning Capability,version column,expectedVersion;If-Match-Version,当前版本,Idempotency-Key,CURRENT,UPDATE必须带version并校验影响行数
API,RFC7807 Problem,稳定错误传输结构,Web Infrastructure,NONE,platform-starter-web;problem-presentation.ts,可理解的错误提示,HTTP 200失败,CURRENT,前端按code映射；未知错误fail-visible
State,DRAFT,可继续编辑且尚未正式发布,Owner state machine,DRAFT,*StateMachines;domain-state CSV,草稿,PUBLISHED,CURRENT,不能向外宣称正式生效
State,VALIDATED,通过Owner定义的结构/规则校验,Owner state machine,VALIDATED,validate,校验通过,PUBLISHED,CURRENT,仍未正式发布
State,PUBLISHED,不可变版本正式生效或可公开消费,Owner state machine,PUBLISHED,publish,已发布,DRAFT,CURRENT,后续变化创建新Version
State,SUPERSEDED,已被后续版本替代但保留历史,Owner state machine,SUPERSEDED,publish successor,已被新版本替代,DELETED,CURRENT,历史引用仍指向原Version
State,SUBMITTED,申请或记录已提交等待后续决定,Owner state machine,SUBMITTED,submit,已提交,FINALIZED,CURRENT,提交不等于审核通过或正式完成
State,FINALIZED,报名等流程已形成正式业务结果,Owner state machine,FINALIZED,finalize,已最终确认,SUBMITTED;APPROVED,CURRENT,对Registration意味着可形成正式Participation
State,WITHDRAWN,主体主动退出且历史保留,Owner state machine,WITHDRAWN,withdraw,已撤回/已退出,DELETED,CURRENT,是否可重开由Owner状态机决定
State,REVOKED,权利/链接/断言被正式撤销,Owner state machine,REVOKED,revoke,已撤销,WITHDRAWN;DISABLED,CURRENT,通常由授权方执行并保留历史
State,SUSPENDED,暂时不可使用但事实未消失,Owner state machine,SUSPENDED,suspend,暂时不可使用,REVOKED,CURRENT,可按规则恢复
State,UNKNOWN,外部或影响结果证据不足,Owner state machine,UNKNOWN,refresh/query latest,结果确认中,FAILED,CURRENT_FAIL_VISIBLE,不得重复发起资金类Command或伪装成功
State,FAILED,Owner确认操作或Provider结果失败,Owner state machine,FAILED,failed transition,失败,UNKNOWN,CURRENT,重试需遵循幂等与Owner规则
State,COMPLETED,流程按Owner规则完成,Owner state machine,COMPLETED,complete,已完成,SUCCEEDED;FULFILLED,CURRENT,不同Owner的完成不能互相替代
Semantic Boundary,Verified,证据或令牌通过真实性核验,Credential/Qualification,VERIFIED,verify,已核验,Trusted;Recognized;Authorized,CURRENT,只回答验证层问题
Semantic Boundary,Trusted,某信任策略接受证据来源,Credential,trust policy,trust evaluation,可信,Verified;Recognized,CURRENT,策略和时点必须明确
Semantic Boundary,Recognized,某consumer在明确上下文认可凭证,Credential,recognition_decision,recognize,已认可,Verified;Trusted;Qualification,CURRENT,不能全局传播
Semantic Boundary,Converted,凭证转换流程完成,Credential,conversion application COMPLETED,conversion APIs,已转换,CredentialIssue自动成功,CURRENT,仍以目标Credential Issue为最终凭证事实
