semantic_scope,evidence_type,current_count_or_version,authoritative_path,how_to_use,known_limit
Fact ownership,Canonical fact matrix,56,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/04-FACT-OWNERSHIP-MATRIX.csv,确认谁拥有事实和哪些表承载,历史兼容表需结合notes判断
Commands,Application command catalog,51,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/05-APPLICATION-COMMAND-CATALOG.csv,查写意图前置条件状态并发审计和does_not,未列出的写操作仍需查Controller和代码
Queries,Application query catalog,46,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/06-APPLICATION-QUERY-CATALOG.csv,查读取来源一致性脱敏缓存和消费者,Projection不是canonical fact
Controller API,Exhaustive operation map,627,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/07-API-OPERATION-CAPABILITY-MAP.csv,查method path controller capability persona auth和consumer,425项缺逐项OpenAPI operationId
OpenAPI,Versioned operation IDs,202 of 627,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/REPOSITORY-FACT-METRICS.json,确认已有正式operationId覆盖,不能宣称OpenAPI完整
Authorization,Authorization matrix,Owner-specific scopes,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/08-BACKEND-AUTHORIZATION-MATRIX.csv,查Subject Permission RoleAssignment Scope Resource Context,前端Persona和页面入口都不是授权
Domain states,State semantics,67,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/09-DOMAIN-STATE-SEMANTICS.csv,查机器状态人类含义和允许迁移,不是所有表内枚举的穷举
Workflow,Workflow semantics,Owner workflows,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/09-WORKFLOW-SEMANTICS.md,理解跨状态流程和事实分界,不替代代码状态机
Safety,Command safety matrix,High-risk commands,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/10-COMMAND-SAFETY-MATRIX.csv,查幂等并发审计和重试边界,普通查询不在此表
Cross-domain contracts,Contract catalog,21 contracts,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/11-CROSS-DOMAIN-CONTRACT-CATALOG.csv,查Port Event Adapter边界,不得据此跨域访问Mapper或表
Persistence,Capability persistence map,38 modules,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/13-CAPABILITY-PERSISTENCE-MAP.csv,从Capability定位Owner tables,一个物理表名仍需结合Migration和代码
Frontend consumers,Backend/frontend map,25 capability groups,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/14-BACKEND-FRONTEND-CONSUMER-MAP.csv,查Admin Web H5 MP和typed client使用,前端不反向定义后端语义
Human terminology,Frozen presentation mapping,9 core mappings,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/human-centered-governance/provenance-g2-g3-m38/G2-HUMAN-TERMINOLOGY-GUIDE.md,把内部词映射为人类语言,展示词不能用于授权或数据所有权
Shared presentation,Frontend semantic implementation,central package,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/frontend/packages/experience/src/human-presentation.ts,查实际三端状态与术语映射,Admin高级治理页可保留内部词
Backend code,Production Java source,619 files,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/backend,按api application domain infrastructure解释类和方法,文件存在不证明运行或外部Provider就绪
Frontend client,Typed API client,31 TypeScript files,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/frontend/packages/api-client/src,从前端定位后端请求与类型,旧v2-core-002a兼容client不能定义新Root Model
