surface,page/task,legacy design,current design,classification,reason,model-evolution-related?,legacy UX advantage,current UX advantage,future reference note
Admin,投诉与举报,"独立侧栏入口、待办数字和处理流程","现行 Engagement 将 Feedback/Complaint 与 Communication 分离并受控处理",MODEL_EVOLUTION,"现行已扩展为平台参与域且边界更明确",YES,"投诉入口醒目","领域边界更准确","入口应继续让用户容易找到"
Admin,问卷与表单,"无独立 Survey/Form 能力","现行支持问卷蓝图、受众预览、发布版本、关闭、归档、导出",MODEL_EVOLUTION,"G3 是旧版之后新增能力",YES,"无","生命周期完整","版本与受众预览必须保留"
Admin,插件管理,"入口明确标注“非本版本范围”，内容为静态演示/占位","现行为九类编译期插件工作区，不是动态插件市场",OBSOLETE_LEGACY,"旧入口的市场化/动态扩展联想不符合现行冻结边界",YES,"入口容易发现","插件治理边界真实","保留明确的版本范围说明，不恢复动态市场暗示"
Admin,平台通信与服务,"作为平台治理独立入口，目录清楚","现行 Communication、PlatformServices 与技术模式承载",MIXED,"旧版导航更集中，现行能力分界更严格",NO,"平台入口集中","服务状态和业务通信不混淆","可保留平台服务目录式总览"
Admin,设置与继承,"平台服务页以传统配置面板表达","现行 typed settings、组织继承和影响预览",MODEL_EVOLUTION,"设置已演进为类型化与有继承语义的能力",YES,"配置面板熟悉","继承影响可解释","配置值应始终显示来源和影响范围"
Admin,状态反馈,"大量静态成功 Toast、徽章和模拟数字","现行组件区分加载、空、失败、冲突、未完成与成功",CURRENT_STRONGER,"静态演示不能证明操作完成；现行失败关闭更可靠",NO,"反馈即时且明显","不会把失败当成功","保留即时反馈样式，状态必须来自真实结果"
Admin,视觉层次与扫描效率,"卡片、色彩、数字、表格、步骤条和侧栏形成高密度视觉系统","现行绿色/白色组件一致但更偏功能性，页面间密度较低",LEGACY_STRONGER,"旧版在人类扫描、演示和任务发现上更成熟",NO,"层次清楚、信息密度高","一致性更稳定","可记忆其卡片层次、步骤条和待办徽章"
Admin,可访问性与语义结构,"部分导航由 div/onclick 驱动，角色和可访问语义不完整","现行 Vue 组件使用更稳定的表单、路由、测试与语义控件",CURRENT_STRONGER,"浏览器快照显示旧版不少可点击项缺少语义角色",NO,"视觉点击区大","语义与测试基础更好","任何视觉借鉴都应使用现行语义组件"
Web,公共门户,"资讯、赛事卡、帮助 CTA 和品牌 Hero 丰富","服务器驱动 HERO、活动卡、文章、快捷链接、横幅等区块",MIXED,"旧版默认内容更充实；现行版可由内容模型驱动",YES,"首屏叙事和内容密度强","内容来源与租户上下文真实","保留清晰 Hero 与赛事/资讯并列"
Web,赛事发现与详情,"赛事卡、状态标签、截止时间和详情 CTA 直接","现行发现页、赛事详情与服务器投影路由",MIXED,"旧版视觉更丰富；现行可见性与状态来源更可靠",NO,"卡片可快速判断","状态与访问规则一致","卡片继续显示状态、主办方、截止时间和单一主 CTA"
Web,报名入口与流程,"从赛事详情进入报名，步骤和完成提示丰富","现行 Registration、Approval、Invitation 路由及实际状态流",MIXED,"旧版引导感强；现行更准确地区分草稿、提交、审批、门禁和最终确认",NO,"步骤引导清楚","状态不合并","延续阶段性进度与阻断原因说明"
Web,报名完成语义,"模拟页面容易给出即时完成 Toast","现行只有满足状态和门禁后才显示最终确认",CURRENT_STRONGER,"现行避免把局部操作成功等同正式参赛",NO,"反馈及时","完成口径准确","继续使用明确的“已提交/已审批/已最终确认”语言"
Web,个人工作台,"需要处理、重要信息、当前状态、我的赛事、我的组织同屏","WorkspaceBoard 只展示服务器投影的区块和受控动作",MIXED,"旧版信息组织优秀；现行可见性与重新鉴权更可信",YES,"任务优先级清楚","服务端投影防止越权入口","保留三层任务分组与统一“去处理”动作"
Web,工作台能力缺口,"用固定演示条目覆盖多角色、多能力","现行在投影中披露能力缺口和提供方不可用，而非伪装故障",CURRENT_STRONGER,"现行对不可用和未冻结能力更诚实",YES,"演示覆盖面广","边界可见","缺口提示应保留具体原因和可用替代入口"
Web,我的信息,"基本信息、工作身份、账号安全三标签，资料结构清晰","现行分离账户、主体、身份、成员关系、资格与人类可读关系",MIXED,"旧版标签导航好；现行 Human Model 语义更完整",YES,"信息分组易懂","概念不混淆","标签式呈现可用于承载现行模型，不简化模型"
Web,工作单位切换,"下拉选择“当前工作身份”，容易被理解为身份/权限切换","现行说明工作单位切换是导航上下文，不是授权来源",CURRENT_STRONGER,"现行降低用户对权限来源的误解",YES,"切换入口直接","权限解释正确","切换控件旁持续显示“只改变工作上下文”"
Web,组织成员关系,"以学校和学院文字路径展示所属单位","现行展示直接/继承成员关系及来源",MODEL_EVOLUTION,"后续有效成员和关系来源模型不存在于旧版",YES,"路径阅读轻松","关系来源可解释","用简洁路径作为复杂关系的摘要"
Web,指导教师工作台,"通过角色演示与任务卡展示教师场景","现行 Advisor Workbench 使用受控投影",MODEL_EVOLUTION,"现行把指导职责从泛角色模拟演进为独立任务能力",YES,"场景演示直观","任务范围可信","继续围绕具体待办而非角色名称组织页面"
Web,邀请中心,"同时包含团队邀请和“接受后创建身份并授予角色”的身份邀请","现行保留受控邀请/审批路径，不把普通前台动作直接等同角色授予",OBSOLETE_LEGACY,"旧身份邀请语义与现行授权治理冲突；团队邀请概念仍可用",YES,"邀请集中易找","授权边界更安全","只保留团队/业务邀请的集中呈现，角色授予按现行治理"
Web,材料与提交,"我的材料、我的提交、任务卡和截止时间路径完整","现行 Artifact 与 Submission 独立页面并由工作台跳转",MIXED,"旧版跨页连贯；现行领域和状态清楚",NO,"个人资产入口直观","提交与材料不混同","保持相互链接和截止时间摘要"
Web,评审任务,"角色演示可快速进入评审，页面信息密集","现行 Evaluations 路由和投影限制实际可见任务",MIXED,"旧版更适合演示；现行更符合任务授权",NO,"任务扫描快","只能看到被投影任务","可保留评分摘要和待办分组"
Web,现场运行与到场,"我的到场、现场任务作为相邻入口，场景感强","现行 Runtime 与 Attendance 独立页面并接入工作区",MIXED,"旧版导航更直观；现行状态边界更明确",NO,"现场动作集中","运行任务和到场记录不混淆","在导航上保持相邻并提供上下文摘要"
Web,资源预约,"预约入口、资源卡、时间段和结果反馈完整","现行 Reservations 页面承载真实预约",LEGACY_STRONGER,"旧版对资源选择和时间段的视觉表达更成熟",NO,"资源—时段—动作关系清楚","规则和结果真实","可记忆其资源卡和时段布局"
Web,缴费与票据,"工作台缴费卡和费用页面提供清晰金额/截止时间","现行 CommerceCenter 承载订单、支付、票据与状态",MIXED,"旧版任务提醒醒目；现行状态与财务边界完整",YES,"金额和截止日醒目","不会把支付请求等同成功","继续突出金额、截止时间、票据状态和失败说明"
Web,证书与证明,"我的证书独立入口和卡片展示","现行 Credentials 页面对应真实凭证状态",SAME,"用户目标和信息架构一致",NO,"成果感强","状态来源真实","保留凭证卡片和核验状态"
Web,消息与帮助,"顶部消息入口与帮助 CTA 明显","现行 Communication 页面并与 Feedback/Complaint 分域",CURRENT_STRONGER,"现行避免把咨询消息、投诉案件和问卷混成同一域",YES,"入口醒目","领域职责清楚","入口文案继续区分咨询、反馈和正式投诉"
Web,反馈与投诉,"投诉与举报作为个人侧栏独立入口","现行 Engagement 支持反馈、投诉、建议、严重级别、回执和状态",MODEL_EVOLUTION,"现行从单一投诉入口演进为可追踪参与域",YES,"正式投诉容易发现","类型和回执更完整","保留易发现入口与回执时间线"
Web,问卷任务,"未提供完整问卷/表单任务中心","现行支持待填问卷、条件题、矩阵、文件等题型和回执",MODEL_EVOLUTION,"G3 是后续新增能力",YES,"无","任务和版本生命周期完整","问卷继续与反馈并列但不混合状态"
Web,状态语言,"同时使用中文和 APPROVED/FINALIZED 等代码，任务卡叙事清楚","现行统一人类标签并保留必要机器状态解释",CURRENT_STRONGER,"现行降低终端用户理解成本",YES,"上下文说明详细","人类语言更稳定","必要时在详情中而非主标题展示机器码"
Web,角色切换演示,"本地一键模拟学生、教师、评审、组织管理员","现行依赖真实会话、授权和服务端投影，不提供前台一键换角色",OBSOLETE_LEGACY,"角色模拟仅适合历史演示，不应进入产品",YES,"展示多场景高效","权限可信","若保留演示必须与产品入口物理隔离并醒目标注"
Web,加载/空/失败状态,"主要以预置数据和成功 Toast 展示理想路径","现行路由组件普遍包含 loading/error/empty 与受控重试",CURRENT_STRONGER,"现行覆盖非理想路径，旧原型不能证明异常体验",NO,"成功路径顺滑","异常状态真实","成功反馈样式可借鉴，状态语义不能静态化"
Web,响应式体验,"桌面网页支持响应式布局，但仍是单文件 Web 演示","现行 Web 响应式样式加独立 H5/小程序应用",MODEL_EVOLUTION,"独立移动端是后续交付面",YES,"桌面到窄屏视觉连续","有真实移动导航和页面结构","Web 响应式与 H5 原生任务保持共同语言"
H5,移动端信息架构,"无独立 H5 导航，只能复用响应式 Web","27 个页面、首页/工作台/消息/我的四 Tab 及任务路由",MODEL_EVOLUTION,"旧包没有同等交付面，不能作为缺失惩罚",YES,"无需维护第二套原型","移动任务结构完整","保持四 Tab 稳定并让深层任务返回路径明确"
H5,移动门户,"无服务器驱动的移动门户原型","支持 HERO、活动卡、文章、富文本、快捷链接、横幅及租户标识",CURRENT_STRONGER,"现行移动门户既可配置又有加载/失败/空态",YES,"旧 Web 视觉素材丰富","移动状态与内容模型完整","可将旧 Hero 的叙事密度用于现行服务器区块"
H5,移动任务覆盖,"旧 Web 仅通过响应式页面表达部分任务","现行覆盖报名、审批、提交、运行、材料、凭证、评审、签到、预约、费用及多工作区",MODEL_EVOLUTION,"这是后续多端能力扩展",YES,"跨端风格统一","任务覆盖更完整","移动端继续优先单任务、短路径和明确回执"
