requirement_id,domain,title,evidence_level,description,acceptance,evidence
CV-ASG-002,作业、提交与评分,学生提交与评论,CONFIRMED_BY_CODE,学生可提交作业，系统保存 Submission、附件、文本、评论和重交记录。,教师、学生、观察者按权限查看提交状态和反馈。,"controller:SubmissionsBaseController `canvas-lms-master/app/controllers/submissions_base_controller.rb:21` | controller:SubmissionCommentsApiController `canvas-lms-master/app/controllers/submission_comments_api_controller.rb:24` | controller:AnonymousSubmissionsController `canvas-lms-master/app/controllers/anonymous_submissions_controller.rb:21` | controller:SubmissionsApiController `canvas-lms-master/app/controllers/submissions_api_controller.rb:213` | route:resources :submissions, only: [] do `canvas-lms-master/config/routes.rb:41` | route:resources :submission_comments, path: :comments, only: :index, defaults: { format: :pdf } `canvas-lms-master/config/routes.rb:42` | route:resources :submission_comments, only: [:update, :destroy] `canvas-lms-master/config/routes.rb:45` | route:get ""submissions_upload/:assignment_id"" => ""gradebooks#show_submissions_upload"", :as => :show_submissions_upload `canvas-lms-master/config/routes.rb:235` | model:SubmissionText `canvas-lms-master/app/models/submission_text.rb:21` | model:SubmissionComment `canvas-lms-master/app/models/submission_comment.rb:21` | model:SubmissionVersion `canvas-lms-master/app/models/submission_version.rb:21` | model:Submission `canvas-lms-master/app/models/submission.rb:23`"
CV-ASG-003,作业、提交与评分,成绩簿与评分,CONFIRMED_BY_CODE,教师可通过 Gradebook、SpeedGrader、Rubric、临时/匿名评分、Late Policy 管理成绩。,系统记录成绩变更审计，支持导入/导出成绩。,"controller:GradebookSettingsController `canvas-lms-master/app/controllers/gradebook_settings_controller.rb:21` | controller:GradeChangeAuditApiController `canvas-lms-master/app/controllers/grade_change_audit_api_controller.rb:125` | controller:RubricAssessmentsController `canvas-lms-master/app/controllers/rubric_assessments_controller.rb:25` | controller:GradebookUploadsController `canvas-lms-master/app/controllers/gradebook_uploads_controller.rb:21` | route:get ""submissions_upload/:assignment_id"" => ""gradebooks#show_submissions_upload"", :as => :show_submissions_upload `canvas-lms-master/config/routes.rb:235` | route:post ""submissions_upload/:assignment_id"" => ""gradebooks#submissions_zip_upload"", :as => :submissions_upload `canvas-lms-master/config/routes.rb:236` | route:get ""grades"" => ""gradebooks#grade_summary"", :id => nil `canvas-lms-master/config/routes.rb:262` | route:get ""grading_rubrics"" => ""gradebooks#grading_rubrics"" `canvas-lms-master/config/routes.rb:263` | model:RubricAssessmentImport `canvas-lms-master/app/models/rubric_assessment_import.rb:21` | model:RubricCriterion `canvas-lms-master/app/models/rubric_criterion.rb:20` | model:GradebookUpload `canvas-lms-master/app/models/gradebook_upload.rb:21` | model:is `canvas-lms-master/app/models/rubric_association.rb:24`"
CV-ASG-004,作业、提交与评分,同伴互评与匿名/调节评分,CONFIRMED_BY_CODE,系统支持 Peer Review、Anonymous Submission、Moderation、Provisional Grade。,复杂评分流程可按作业启用，教师可调节最终成绩。,"controller:PeerReviewsApiController `canvas-lms-master/app/controllers/peer_reviews_api_controller.rb:76` | controller:AnonymousProvisionalGradesController `canvas-lms-master/app/controllers/anonymous_provisional_grades_controller.rb:24` | controller:ProvisionalGradesBaseController `canvas-lms-master/app/controllers/provisional_grades_base_controller.rb:21` | controller:ProvisionalGradesController `canvas-lms-master/app/controllers/provisional_grades_controller.rb:72` | route:get ""anonymous_submissions/:anonymous_id"", `canvas-lms-master/config/routes.rb:273` | route:get ""anonymous_submissions/:anonymous_id"", `canvas-lms-master/config/routes.rb:279` | route:get ""anonymous_submissions/:anonymous_id"", to: ""anonymous_submissions#show"", as: :anonymous_submission `canvas-lms-master/config/routes.rb:285` | route:put ""anonymous_submissions/:anonymous_id"", to: ""anonymous_submissions#update"" `canvas-lms-master/config/routes.rb:299` | model:PeerReviewSubAssignment `canvas-lms-master/app/models/peer_review_sub_assignment.rb:21` | model:ModerationGrader `canvas-lms-master/app/models/moderation_grader.rb:21` | model:AnonymousOrModerationEvent `canvas-lms-master/app/models/anonymous_or_moderation_event.rb:21` | model:ModeratedGrading::NullProvisionalGrade `canvas-lms-master/app/models/moderated_grading/null_provisional_grade.rb:20`"
CV-QZ-001,测验与题库,测验管理,CONFIRMED_BY_CODE,教师可创建、发布、取消发布测验，学生可进入测验作答，系统保存测验提交和事件。,支持 Classic Quiz 与 New Quizzes 入口并存。,"controller:NewQuizzesController `canvas-lms-master/app/controllers/new_quizzes_controller.rb:26` | controller:QuizzesNext::QuizzesApiController `canvas-lms-master/app/controllers/quizzes_next/quizzes_api_controller.rb:20` | controller:Quizzes::QuizSubmissionsController `canvas-lms-master/app/controllers/quizzes/quiz_submissions_controller.rb:21` | controller:QuizSubmissionUsersController `canvas-lms-master/app/controllers/quizzes/quiz_submission_users_controller.rb:85` | route:scope(controller: :new_quizzes) do `canvas-lms-master/config/routes.rb:358` | route:get ""launch"", action: :launch, as: :new_quizzes_launch `canvas-lms-master/config/routes.rb:359` | route:get ""build(/*path)"", action: :launch, as: :new_quizzes_build `canvas-lms-master/config/routes.rb:360` | route:get ""reporting(/*path)"", action: :launch, as: :new_quizzes_reporting `canvas-lms-master/config/routes.rb:361` | model:ExportService `canvas-lms-master/app/models/quizzes_next/export_service.rb:20` | model:Service `canvas-lms-master/app/models/quizzes_next/service.rb:20` | model:Quizzes2Exporter `canvas-lms-master/app/models/exporters/quizzes2_exporter.rb:23` | model:Quizzes::QuizSubmissionEventPartitioner `canvas-lms-master/app/models/quizzes/quiz_submission_event_partitioner.rb:20`"
CV-QZ-002,测验与题库,题库与题目管理,CONFIRMED_BY_CODE,系统支持 Question Bank、Assessment Question、Quiz Question、Item Bank。,教师可维护题库、题组和题目，测验可从题库抽题。,"controller:AssessmentQuestionBanksController `canvas-lms-master/app/controllers/assessment_question_banks_controller.rb:227` | controller:ItemBanksController `canvas-lms-master/app/controllers/item_banks_controller.rb:21` | controller:QuestionBanksController `canvas-lms-master/app/controllers/question_banks_controller.rb:21` | controller:AssessmentQuestionsController `canvas-lms-master/app/controllers/assessment_questions_controller.rb:21` | route:resources :quiz_questions, controller: ""quizzes/quiz_questions"", path: :questions, only: %i[create update destroy show] `canvas-lms-master/config/routes.rb:468` | route:scope(controller: ""quizzes/quiz_questions"") do `canvas-lms-master/config/routes.rb:2382` | route:get ""courses/:course_id/quizzes/:quiz_id/questions"", action: :index, as: ""course_quiz_questions"" `canvas-lms-master/config/routes.rb:2383` | model:AssessmentQuestionBank `canvas-lms-master/app/models/assessment_question_bank.rb:21` | model:AssessmentQuestion `canvas-lms-master/app/models/assessment_question.rb:21` | model:AssessmentQuestionBankUser `canvas-lms-master/app/models/assessment_question_bank_user.rb:21` | model:AssessmentQuestionImporter `canvas-lms-master/app/models/importers/assessment_question_importer.rb:21` | table:quiz_questions `canvas-lms-master/db/migrate/20101210192618_init_canvas_db.rb:4363`"
CV-QZ-003,测验与题库,测验统计与审计,CONFIRMED_BY_CODE,系统支持 quiz statistics、history、log auditing 和迁移提醒。,教师可查看测验统计和作答历史，管理员可审计异常。,"controller:Quizzes::QuizStatisticsController `canvas-lms-master/app/controllers/quizzes/quiz_statistics_controller.rb:238` | route:resources :question_banks do `canvas-lms-master/config/routes.rb:93` | route:resources :assessment_questions `canvas-lms-master/config/routes.rb:98` | route:scope(controller: :new_quizzes) do `canvas-lms-master/config/routes.rb:358` | route:get ""launch"", action: :launch, as: :new_quizzes_launch `canvas-lms-master/config/routes.rb:359` | model:Quizzes::QuizStatisticsService `canvas-lms-master/app/models/quizzes/quiz_statistics_service.rb:20` | model:Quizzes::QuizStatistics `canvas-lms-master/app/models/quizzes/quiz_statistics.rb:21` | model:Quizzes::QuizStatistics::Report `canvas-lms-master/app/models/quizzes/quiz_statistics/report.rb:20` | model:Quizzes::QuizStatistics::StudentAnalysis `canvas-lms-master/app/models/quizzes/quiz_statistics/student_analysis.rb:21` | table:assessment_question_banks `canvas-lms-master/db/migrate/20101210192618_init_canvas_db.rb:633` | table:assessment_question_bank_users `canvas-lms-master/db/migrate/20101210192618_init_canvas_db.rb:647` | table:assessment_questions `canvas-lms-master/db/migrate/20101210192618_init_canvas_db.rb:653`"
CV-CNT-001,内容、文件与模块,课程文件与文件夹,CONFIRMED_BY_CODE,系统支持 Attachment、Folder、文件上传、下载、预览、配额、删除限制和相对路径访问。,文件可归属于用户、课程、作业或内容对象，访问必须检查上下文权限。,"controller:FoldersController `canvas-lms-master/app/controllers/folders_controller.rb:112` | controller:FilesController `canvas-lms-master/app/controllers/files_controller.rb:128` | route:get ""files/folder#{full_path_glob}"" => ""files#react_files"", :format => false, :defaults => { format: ""html"" } `canvas-lms-master/config/routes.rb:115` | route:resources :folders `canvas-lms-master/config/routes.rb:140` | route:post ""media_attachments"" => ""media_objects#create_media_object"", :as => :create_media_attachment `canvas-lms-master/config/routes.rb:615` | route:get ""media_attachments/:attachment_id/thumbnail"" => ""media_objects#media_object_thumbnail"", :as => :media_attachment_thumbnail `canvas-lms-master/config/routes.rb:616` | model:AttachmentUploadStatus `canvas-lms-master/app/models/attachment_upload_status.rb:19` | model:Attachment `canvas-lms-master/app/models/attachment.rb:22` | model:AttachmentAssociation `canvas-lms-master/app/models/attachment_association.rb:21` | model:Folder `canvas-lms-master/app/models/folder.rb:21` | table:attachments `canvas-lms-master/db/migrate/20101210192618_init_canvas_db.rb:953` | table:attachment_associations `canvas-lms-master/db/migrate/20101210192618_init_canvas_db.rb:1039`"
CV-CNT-002,内容、文件与模块,页面、Wiki 与 Syllabus,CONFIRMED_BY_CODE,教师可维护 Wiki Page、课程页面、Syllabus，学生可查看发布内容和修订。,页面与课程上下文、模块、日历等联动。,"controller:SyllabusApiController `canvas-lms-master/app/controllers/syllabus_api_controller.rb:20` | controller:WikiPagesController `canvas-lms-master/app/controllers/wiki_pages_controller.rb:20` | controller:WikiPagesApiController `canvas-lms-master/app/controllers/wiki_pages_api_controller.rb:174` | route:resources :wiki_pages, path: :pages, except: %i[update destroy new], constraints: { id: %r{[^/]+} } do `canvas-lms-master/config/routes.rb:169` | route:get ""revisions"" => ""wiki_pages#revisions"", :as => :revisions `canvas-lms-master/config/routes.rb:170` | route:get ""wiki"" => ""wiki_pages#front_page"", :as => :wiki `canvas-lms-master/config/routes.rb:173` | route:get ""wiki/:id"" => ""wiki_pages#show_redirect"", :id => %r{[^/]+} `canvas-lms-master/config/routes.rb:174` | model:Wiki `canvas-lms-master/app/models/wiki.rb:21` | model:WikiPageEmbedding `canvas-lms-master/app/models/wiki_page_embedding.rb:19` | model:WikiPage `canvas-lms-master/app/models/wiki_page.rb:21` | model:WikiPageLookup `canvas-lms-master/app/models/wiki_page_lookup.rb:21` | table:wikis `canvas-lms-master/db/migrate/20101210192618_init_canvas_db.rb:5300`"
CV-CNT-003,内容、文件与模块,课程模块与学习路径,CONFIRMED_BY_CODE,系统支持 Context Module、Module Item、模块进度、发布状态和顺序。,教师可组织课程内容，学生按模块访问并记录进度。,"controller:ContextModulesController `canvas-lms-master/app/controllers/context_modules_controller.rb:21` | controller:ContextModulesApiController `canvas-lms-master/app/controllers/context_modules_api_controller.rb:126` | controller:ContextModuleItemsApiController `canvas-lms-master/app/controllers/context_module_items_api_controller.rb:243` | route:get ""files/folder#{full_path_glob}"" => ""files#react_files"", :format => false, :defaults => { format: ""html"" } `canvas-lms-master/config/routes.rb:115` | route:get ""files/search"" => ""files#react_files"", :format => false, :defaults => { format: ""html"" } `canvas-lms-master/config/routes.rb:116` | route:resources :files, except: [:new] do `canvas-lms-master/config/routes.rb:117` | route:get ""download"" => ""files#show"", :download => ""1"" `canvas-lms-master/config/routes.rb:118` | model:ContextModule `canvas-lms-master/app/models/context_module.rb:21` | model:ContextModuleProgression `canvas-lms-master/app/models/context_module_progression.rb:21` | model:ContextModuleImporter `canvas-lms-master/app/models/importers/context_module_importer.rb:21` | model:Finder `canvas-lms-master/app/models/context_module_progressions/finder.rb:22` | table:context_module_progressions `canvas-lms-master/db/migrate/20101210192618_init_canvas_db.rb:1702`"
CV-CNT-004,内容、文件与模块,日历与计划器,CONFIRMED_BY_CODE,系统支持 Calendar Event、Planner、Planner Override、作业日期视图。,用户可以按课程和个人视角查看待办、日历和计划项。,"controller:PlannerOverridesController `canvas-lms-master/app/controllers/planner_overrides_controller.rb:90` | controller:CalendarsController `canvas-lms-master/app/controllers/calendars_controller.rb:21` | controller:CalendarEventsController `canvas-lms-master/app/controllers/calendar_events_controller.rb:21` | controller:CalendarEventsApiController `canvas-lms-master/app/controllers/calendar_events_api_controller.rb:319` | route:get ""calendar"" => ""calendars#show"" `canvas-lms-master/config/routes.rb:267` | route:get ""calendars/:feed_code"" => ""calendar_events_api#public_feed"", :as => :feeds_calendar `canvas-lms-master/config/routes.rb:651` | route:get ""calendars/:feed_code.:format"" => ""calendar_events_api#public_feed"", :as => :feeds_calendar_format `canvas-lms-master/config/routes.rb:652` | route:get ""calendar"" => ""calendars#show"" `canvas-lms-master/config/routes.rb:720` | model:PlannerNote `canvas-lms-master/app/models/planner_note.rb:21` | model:CalendarEvent `canvas-lms-master/app/models/calendar_event.rb:25` | model:PlannerOverride `canvas-lms-master/app/models/planner_override.rb:21` | model:CalendarEventImporter `canvas-lms-master/app/models/importers/calendar_event_importer.rb:22`"
CV-DIS-001,讨论、公告与协作,讨论与公告,CONFIRMED_BY_CODE,系统支持 Discussion Topic、Discussion Entry、Announcement 和用户阅读状态。,课程或小组成员可参与讨论，教师可发布公告。,"controller:AnnouncementsController `canvas-lms-master/app/controllers/announcements_controller.rb:21` | controller:AnnouncementsApiController `canvas-lms-master/app/controllers/announcements_api_controller.rb:26` | controller:DiscussionTopicsApiController `canvas-lms-master/app/controllers/discussion_topics_api_controller.rb:24` | controller:DiscussionEntriesController `canvas-lms-master/app/controllers/discussion_entries_controller.rb:22` | route:resources :announcements `canvas-lms-master/config/routes.rb:155` | route:resources :discussion_topics, only: %i[index new show edit destroy] do `canvas-lms-master/config/routes.rb:159` | route:get ""insights"" => ""discussion_topics#insights"", :as => :insights `canvas-lms-master/config/routes.rb:161` | route:get ""discussion_topics/:id/*extras"" => ""discussion_topics#show"", :as => :map, :extras => /.+/ `canvas-lms-master/config/routes.rb:164` | model:DiscussionTopicSummary `canvas-lms-master/app/models/discussion_topic_summary.rb:19` | model:Announcement `canvas-lms-master/app/models/announcement.rb:21` | model:DiscussionTopicInsight `canvas-lms-master/app/models/discussion_topic_insight.rb:19` | model:DiscussionEntryVersion `canvas-lms-master/app/models/discussion_entry_version.rb:19`"
