table,domain,component,comment,path,field_count,fields,primary_keys,foreign_keys,unique_keys,indexes
imscp,其他/插件扩展,mod_imscp,each record is one imscp resource,public/mod/imscp/db/install.xml,9,id;course;name;intro;introformat;revision;keepold;structure;timemodified,id,,,I:course
label,其他/插件扩展,mod_label,Defines labels,public/mod/label/db/install.xml,6,id;course;name;intro;introformat;timemodified,id,,,I:course
log,其他/插件扩展,core,Every action is logged as far as possible,public/lib/db/install.xml,10,id;time;userid;ip;course;module;cmid;action;url;info,id,,,"I:course, module, action;I:time;I:action;I:userid, course;I:cmid"
log_display,其他/插件扩展,core,"For a particular module/action, specifies a moodle table/field",public/lib/db/install.xml,6,id;module;action;mtable;field;component,id,,,"U:module, action"
log_queries,其他/插件扩展,core,Logged database queries.,public/lib/db/install.xml,9,id;qtype;sqltext;sqlparams;error;info;backtrace;exectime;timelogged,id,,,
matrix_room,其他/插件扩展,communication_matrix,Stores the matrix room information associated with the communication instance.,public/communication/provider/matrix/db/install.xml,4,id;commid;roomid;topic,id,commid->communication.id,,
mnet_application,其他/插件扩展,core,Information about applications on remote hosts,public/lib/db/install.xml,6,id;name;display_name;xmlrpc_server_url;sso_land_url;sso_jump_url,id,,,
mnet_host,其他/插件扩展,core,Information about the local and remote hosts for RPC,public/lib/db/install.xml,15,id;deleted;wwwroot;ip_address;name;public_key;public_key_expires;transport;portno;last_connect_time;last_log_id;force_theme;theme;applicationid;sslverification,id,applicationid->mnet_application.id,,I:last_log_id
mnet_host2service,其他/插件扩展,core,Information about the services for a given host,public/lib/db/install.xml,5,id;hostid;serviceid;publish;subscribe,id,,,"U:hostid, serviceid"
mnet_log,其他/插件扩展,core,Store session data from users migrating to other sites,public/lib/db/install.xml,13,id;hostid;remoteid;time;userid;ip;course;coursename;module;cmid;action;url;info,id,,,"I:hostid, userid, course"
mnet_remote_rpc,其他/插件扩展,core,This table describes functions that might be called remotely (we have less information about them than local functions),public/lib/db/install.xml,6,id;functionname;xmlrpcpath;plugintype;pluginname;enabled,id,,,
mnet_remote_service2rpc,其他/插件扩展,core,Group functions or methods under a service,public/lib/db/install.xml,3,id;serviceid;rpcid,id,,,"U:rpcid, serviceid"
mnet_rpc,其他/插件扩展,core,Functions or methods that we may publish or subscribe to,public/lib/db/install.xml,11,id;functionname;xmlrpcpath;plugintype;pluginname;enabled;help;profile;filename;classname;static,id,,,"I:enabled, xmlrpcpath"
mnet_service,其他/插件扩展,core,A service is a group of functions,public/lib/db/install.xml,5,id;name;description;apiversion;offer,id,,,
mnet_service2rpc,其他/插件扩展,core,Group functions or methods under a service,public/lib/db/install.xml,3,id;serviceid;rpcid,id,,,"U:rpcid, serviceid"
mnet_session,其他/插件扩展,core,Store session data from users migrating to other sites,public/lib/db/install.xml,9,id;userid;username;token;mnethostid;useragent;confirm_timeout;session_id;expires,id,userid->user.id;mnethostid->mnet_host.id,,U:token
mnet_sso_access_control,其他/插件扩展,core,Users by host permitted (or not) to login from a remote provider,public/lib/db/install.xml,4,id;username;mnet_host_id;accessctrl,id,,,"U:mnet_host_id, username"
payment_accounts,其他/插件扩展,core,Payment accounts,public/lib/db/install.xml,8,id;name;idnumber;contextid;enabled;archived;timecreated;timemodified,id,contextid->context.id,,
payment_gateways,其他/插件扩展,core,Configuration for one gateway for one payment account,public/lib/db/install.xml,7,id;accountid;gateway;enabled;config;timecreated;timemodified,id,accountid->payment_accounts.id,,
payments,其他/插件扩展,core,Stores information about payments,public/lib/db/install.xml,11,id;component;paymentarea;itemid;userid;amount;currency;accountid;gateway;timecreated;timemodified,id,userid->user.id;accountid->payment_accounts.id,,"I:gateway;I:component, paymentarea, itemid"
portfolio_instance,其他/插件扩展,core,base table (not including config data) for instances of portfolio plugins.,public/lib/db/install.xml,4,id;plugin;name;visible,id,,,
portfolio_log,其他/插件扩展,core,log of portfolio transfers (used to later check for duplicates),public/lib/db/install.xml,11,id;userid;time;portfolio;caller_class;caller_file;caller_component;caller_sha1;tempdataid;returnurl;continueurl,id,userid->user.id;portfolio->portfolio_instance.id;tempdataid->portfolio_tempdata.id,,
post,其他/插件扩展,core,Generic post table to hold data blog entries etc in different modules,public/lib/db/install.xml,19,id;module;userid;courseid;groupid;moduleid;coursemoduleid;subject;summary;content;uniquehash;rating;format;summaryformat;attachment;publishstate;lastmodified;created;usermodified,id,usermodified->user.id;courseid->course.id;coursemoduleid->course_modules.id,,"U:id, userid;I:lastmodified;I:module;I:subject"
profiling,其他/插件扩展,core,Stores the results of all the profiling runs,public/lib/db/install.xml,11,id;runid;url;data;totalexecutiontime;totalcputime;totalcalls;totalmemory;runreference;runcomment;timecreated,id,,runid,"I:url, runreference;I:timecreated, runreference"
qbank,其他/插件扩展,mod_qbank,Stores the qbank activity module instances.,public/mod/qbank/db/install.xml,8,id;course;name;timecreated;timemodified;intro;introformat;type,id,course->course.id,,
qtype_ddimageortext,其他/插件扩展,qtype_ddimageortext,Defines drag and drop (text or images onto a background image) questions,public/question/type/ddimageortext/db/install.xml,11,id;questionid;shuffleanswers;correctfeedback;correctfeedbackformat;partiallycorrectfeedback;partiallycorrectfeedbackformat;incorrectfeedback;incorrectfeedbackformat;shownumcorrect;dropzonevisibility,id,questionid->question.id,,
qtype_ddimageortext_drags,其他/插件扩展,qtype_ddimageortext,Images to drag. Actual file names are not stored here we use the file names as found in the file storage area.,public/question/type/ddimageortext/db/install.xml,6,id;questionid;no;draggroup;infinite;label,id,questionid->question.id,,
qtype_ddimageortext_drops,其他/插件扩展,qtype_ddimageortext,Drop boxes,public/question/type/ddimageortext/db/install.xml,7,id;questionid;no;xleft;ytop;choice;label,id,questionid->question.id,,
qtype_ddmarker,其他/插件扩展,qtype_ddmarker,Defines drag and drop (text or images onto a background image) questions,public/question/type/ddmarker/db/install.xml,11,id;questionid;shuffleanswers;correctfeedback;correctfeedbackformat;partiallycorrectfeedback;partiallycorrectfeedbackformat;incorrectfeedback;incorrectfeedbackformat;shownumcorrect;showmisplaced,id,questionid->question.id,,
qtype_ddmarker_drags,其他/插件扩展,qtype_ddmarker,Labels for markers to drag.,public/question/type/ddmarker/db/install.xml,6,id;questionid;no;label;infinite;noofdrags,id,questionid->question.id,,
qtype_ddmarker_drops,其他/插件扩展,qtype_ddmarker,drop regions,public/question/type/ddmarker/db/install.xml,6,id;questionid;no;shape;coords;choice,id,questionid->question.id,,
qtype_essay_options,其他/插件扩展,qtype_essay,Extra options for essay questions.,public/question/type/essay/db/install.xml,15,id;questionid;responseformat;responserequired;responsefieldlines;minwordlimit;maxwordlimit;attachments;attachmentsrequired;graderinfo;graderinfoformat;responsetemplate;responsetemplateformat;maxbytes;filetypeslist,id,,,
qtype_match_options,其他/插件扩展,qtype_match,Defines the question-type specific options for matching questions,public/question/type/match/db/install.xml,10,id;questionid;shuffleanswers;correctfeedback;correctfeedbackformat;partiallycorrectfeedback;partiallycorrectfeedbackformat;incorrectfeedback;incorrectfeedbackformat;shownumcorrect,id,,,
qtype_ordering_options,其他/插件扩展,qtype_ordering,Options for ordering questions,public/question/type/ordering/db/install.xml,15,id;questionid;layouttype;selecttype;selectcount;gradingtype;showgrading;numberingstyle;correctfeedback;correctfeedbackformat;incorrectfeedback;incorrectfeedbackformat;partiallycorrectfeedback;partiallycorrectfeedbackformat;shownumcorrect,id,,,
qtype_randomsamatch_options,其他/插件扩展,qtype_randomsamatch,Info about a random short-answer matching question,public/question/type/randomsamatch/db/install.xml,11,id;questionid;choose;subcats;correctfeedback;correctfeedbackformat;partiallycorrectfeedback;partiallycorrectfeedbackformat;incorrectfeedback;incorrectfeedbackformat;shownumcorrect,id,,,
qtype_shortanswer_options,其他/插件扩展,qtype_shortanswer,Options for short answer questions,public/question/type/shortanswer/db/install.xml,3,id;questionid;usecase,id,,,
rating,其他/插件扩展,core,moodle ratings,public/lib/db/install.xml,10,id;contextid;component;ratingarea;itemid;scaleid;rating;userid;timecreated;timemodified,id,contextid->context.id;userid->user.id;scaleid->scale.id,,"I:component, ratingarea, contextid, itemid"
registration_hubs,其他/插件扩展,core,hub where the site is registered on with their associated token,public/lib/db/install.xml,7,id;token;hubname;huburl;confirmed;secret;timemodified,id,,,
search_index_requests,其他/插件扩展,core,Records requests for (re)indexing of specific contexts. Entries will be removed from this table when indexing of that context is complete. (This table is not used for normal time-based indexing of new content.),public/lib/db/install.xml,7,id;contextid;searcharea;timerequested;partialarea;partialtime;indexpriority,id,contextid->context.id,,"I:indexpriority, timerequested"
shortlink,其他/插件扩展,core,Short codes for user short links,public/lib/db/install.xml,6,id;shortcode;userid;component;linktype;identifier,id,userid->user.id,,"U:userid, shortcode;I:shortcode"
sms_gateways,其他/插件扩展,core,Instances of SMS gateways,public/lib/db/install.xml,5,id;name;gateway;enabled;config,id,,,
stats_daily,其他/插件扩展,core,to accumulate daily stats,public/lib/db/install.xml,7,id;courseid;timeend;roleid;stattype;stat1;stat2,id,,,I:courseid;I:timeend;I:roleid
stats_monthly,其他/插件扩展,core,To accumulate monthly stats,public/lib/db/install.xml,7,id;courseid;timeend;roleid;stattype;stat1;stat2,id,,,I:courseid;I:timeend;I:roleid
stats_weekly,其他/插件扩展,core,To accumulate weekly stats,public/lib/db/install.xml,7,id;courseid;timeend;roleid;stattype;stat1;stat2,id,,,I:courseid;I:timeend;I:roleid
stored_progress,其他/插件扩展,core,Records for any long running tasks we want to poll for progress,public/lib/db/install.xml,7,id;idnumber;timestart;lastupdate;percentcompleted;message;haserrored,id,,,I:idnumber
subsection,其他/插件扩展,mod_subsection,Stores the delegated subsection instances.,public/mod/subsection/db/install.xml,4,id;course;name;timemodified,id,course->course.id,,
tiny_autosave,其他/插件扩展,tinyplugin_autosave,The content of the textarea saved during autosave operations,public/lib/editor/tiny/plugins/autosave/db/install.xml,9,id;elementid;contextid;pagehash;userid;drafttext;draftid;pageinstance;timemodified,id,,"elementid, contextid, userid, pagehash",
tool_brickfield_areas,其他/插件扩展,tool_brickfield,Areas that have been checked for accessibility problems,public/admin/tool/brickfield/db/install.xml,13,id;type;contextid;component;tablename;fieldorarea;itemid;filename;reftable;refid;cmid;courseid;categoryid,id,courseid->course.id;cmid->course_modules.id;categoryid->course_categories.id;contextid->context.id,,"I:courseid, cmid;I:type, tablename, itemid, fieldorarea;I:type, contextid, component, fieldorarea, itemid;I:reftable, refid, type"
tool_brickfield_checks,其他/插件扩展,tool_brickfield,Checks details,public/admin/tool/brickfield/db/install.xml,6,id;checktype;shortname;checkgroup;status;severity,id,,,I:checktype;I:checkgroup;I:status
tool_brickfield_content,其他/插件扩展,tool_brickfield,Content of an area at a particular time (recognised by a hash),public/admin/tool/brickfield/db/install.xml,7,id;areaid;contenthash;iscurrent;status;timecreated;timechecked,id,areaid->tool_brickfield_areas.id,,"I:status;I:iscurrent, areaid"
tool_brickfield_errors,其他/插件扩展,tool_brickfield,Errors during the accessibility checks,public/admin/tool/brickfield/db/install.xml,5,id;resultid;linenumber;errordata;htmlcode,id,resultid->tool_brickfield_results.id,,
tool_brickfield_process,其他/插件扩展,tool_brickfield,Queued records to initiate new processing of specific targets,public/admin/tool/brickfield/db/install.xml,7,id;courseid;item;contextid;innercontextid;timecreated;timecompleted,id,,,I:timecompleted
tool_brickfield_results,其他/插件扩展,tool_brickfield,Results of the accessibility checks,public/admin/tool/brickfield/db/install.xml,4,id;contentid;checkid;errorcount,id,contentid->tool_brickfield_content.id;checkid->tool_brickfield_checks.id,,"I:contentid, checkid"
tool_brickfield_schedule,其他/插件扩展,tool_brickfield,Keeps the per course content analysis schedule.,public/admin/tool/brickfield/db/install.xml,7,id;contextlevel;instanceid;contextid;status;timeanalyzed;timemodified,id,,,"U:contextlevel, instanceid;I:status"
tool_brickfield_summary,其他/插件扩展,tool_brickfield,Contains accessibility check results summary information.,public/admin/tool/brickfield/db/install.xml,27,id;courseid;status;activities;activitiespassed;activitiesfailed;errorschecktype1;errorschecktype2;errorschecktype3;errorschecktype4;errorschecktype5;errorschecktype6;errorschecktype7;failedchecktype1;failedchecktype2;failedchecktype3;failedchecktype4;failedchecktype5;failedchecktype6;failedchecktype7;percentchecktype1;percentchecktype2;percentchecktype3;percentchecktype4;percentchecktype5;percentchecktype6;percentchecktype7,id,courseid->course.id,,I:status
tool_customlang,其他/插件扩展,tool_customlang,Contains the working checkout of all strings and their customization,public/admin/tool/customlang/db/install.xml,11,id;lang;componentid;stringid;original;master;local;timemodified;timecustomized;outdated;modified,id,componentid->tool_customlang_components.id,,"U:lang, componentid, stringid"
tool_customlang_components,其他/插件扩展,tool_customlang,Contains the list of all installed plugins that provide their own language pack,public/admin/tool/customlang/db/install.xml,3,id;name;version,id,,,
tool_monitor_history,其他/插件扩展,tool_monitor,Table to store history of message notifications sent,public/admin/tool/monitor/db/install.xml,4,id;sid;userid;timesent,id,sid->tool_monitor_subscriptions.id,,"U:sid, userid, timesent"
tool_monitor_rules,其他/插件扩展,tool_monitor,Table to store rules,public/admin/tool/monitor/db/install.xml,14,id;description;descriptionformat;name;userid;courseid;plugin;eventname;template;templateformat;frequency;timewindow;timemodified;timecreated,id,,,"I:courseid, userid;I:eventname"
tool_monitor_subscriptions,其他/插件扩展,tool_monitor,Table to store user subscriptions to various rules,public/admin/tool/monitor/db/install.xml,8,id;courseid;ruleid;cmid;userid;timecreated;lastnotificationsent;inactivedate,id,ruleid->tool_monitor_rules.id,,"I:courseid, userid"
tool_recyclebin_category,其他/插件扩展,tool_recyclebin,A list of items in the category recycle bin,public/admin/tool/recyclebin/db/install.xml,5,id;categoryid;shortname;fullname;timecreated,id,categoryid->course_categories.id,,I:timecreated
xapi_states,其他/插件扩展,core,The stored xAPI states,public/lib/db/install.xml,9,id;component;userid;itemid;stateid;statedata;registration;timecreated;timemodified,id,,,"I:component, itemid;I:userid;I:timemodified"
grade_categories,成绩与完成,core,"This table keeps information about categories, used for grouping items.",public/lib/db/install.xml,14,id;courseid;parent;depth;path;fullname;aggregation;keephigh;droplow;aggregateonlygraded;aggregateoutcomes;timecreated;timemodified;hidden,id,courseid->course.id;parent->grade_categories.id,,
grade_categories_history,成绩与完成,core,History of grade_categories,public/lib/db/install.xml,18,id;action;oldid;source;timemodified;loggeduser;courseid;parent;depth;path;fullname;aggregation;keephigh;droplow;aggregateonlygraded;aggregateoutcomes;aggregatesubcats;hidden,id,oldid->grade_categories.id;courseid->course.id;parent->grade_categories.id;loggeduser->user.id,,I:action;I:timemodified
grade_grades,成绩与完成,core,"grade_grades  This table keeps individual grades for each user and each item, exactly as imported or submitted by modules. The rawgrademax/min and rawscaleid are stored here to record the values at the time the grade was stored, because teachers might change this for an activity! All the results are normalised/resampled for the final grade value.",public/lib/db/install.xml,24,id;itemid;userid;rawgrade;rawgrademax;rawgrademin;rawscaleid;usermodified;finalgrade;hidden;locked;locktime;exported;overridden;excluded;feedback;feedbackformat;information;informationformat;timecreated;timemodified;aggregationstatus;aggregationweight;deductedmark,id,itemid->grade_items.id;userid->user.id;rawscaleid->scale.id;usermodified->user.id,"userid, itemid","I:locked, locktime"
grade_grades_history,成绩与完成,core,History table,public/lib/db/install.xml,24,id;action;oldid;source;timemodified;loggeduser;itemid;userid;rawgrade;rawgrademax;rawgrademin;rawscaleid;usermodified;finalgrade;hidden;locked;locktime;exported;overridden;excluded;feedback;feedbackformat;information;informationformat,id,oldid->grade_grades.id;itemid->grade_items.id;userid->user.id;rawscaleid->scale.id;usermodified->user.id;loggeduser->user.id,,"I:action;I:timemodified;I:userid, itemid, timemodified"
grade_import_newitem,成绩与完成,core,temporary table for storing new grade_item names from grade import,public/lib/db/install.xml,4,id;itemname;importcode;importer,id,importer->user.id,,
grade_import_values,成绩与完成,core,Temporary table for importing grades,public/lib/db/install.xml,9,id;itemid;newgradeitem;userid;finalgrade;feedback;importcode;importer;importonlyfeedback,id,itemid->grade_items.id;newgradeitem->grade_import_newitem.id;importer->user.id;userid->user.id,,
grade_items,成绩与完成,core,"This table keeps information about gradeable items (ie columns). If an activity (eg an assignment or quiz) has multiple grade_items associated with it (eg several outcomes or numerical grades), then there will be a corresponding multiple number of rows in this table.",public/lib/db/install.xml,31,id;courseid;categoryid;itemname;itemtype;itemmodule;iteminstance;itemnumber;iteminfo;idnumber;calculation;gradetype;grademax;grademin;scaleid;outcomeid;gradepass;multfactor;plusfactor;aggregationcoef;aggregationcoef2;sortorder;display;decimals;hidden;locked;locktime;needsupdate;weightoverride;timecreated;timemodified,id,courseid->course.id;categoryid->grade_categories.id;scaleid->scale.id;outcomeid->grade_outcomes.id,,"I:locked, locktime;I:itemtype, needsupdate;I:gradetype;I:idnumber, courseid;I:itemtype, itemmodule, iteminstance, courseid"
grade_items_history,成绩与完成,core,History of grade_items,public/lib/db/install.xml,34,id;action;oldid;source;timemodified;loggeduser;courseid;categoryid;itemname;itemtype;itemmodule;iteminstance;itemnumber;iteminfo;idnumber;calculation;gradetype;grademax;grademin;scaleid;outcomeid;gradepass;multfactor;plusfactor;aggregationcoef;aggregationcoef2;sortorder;hidden;locked;locktime;needsupdate;display;decimals;weightoverride,id,oldid->grade_items.id;courseid->course.id;categoryid->grade_categories.id;scaleid->scale.id;outcomeid->grade_outcomes.id;loggeduser->user.id,,I:action;I:timemodified
grade_letters,成绩与完成,core,"Repository for grade letters, for courses and other moodle entities that use grades.",public/lib/db/install.xml,4,id;contextid;lowerboundary;letter,id,,,"U:contextid, lowerboundary, letter"
grade_outcomes,成绩与完成,core,"This table describes the outcomes used in the system. An outcome is a statement tied to a rubric scale from low to high, such as âNot met, Borderline, Metâ (stored as 0,1 or 2)",public/lib/db/install.xml,10,id;courseid;shortname;fullname;scaleid;description;descriptionformat;timecreated;timemodified;usermodified,id,courseid->course.id;scaleid->scale.id;usermodified->user.id,"courseid, shortname",
grade_outcomes_history,成绩与完成,core,History table,public/lib/db/install.xml,12,id;action;oldid;source;timemodified;loggeduser;courseid;shortname;fullname;scaleid;description;descriptionformat,id,oldid->grade_outcomes.id;courseid->course.id;scaleid->scale.id;loggeduser->user.id,,I:action;I:timemodified
grade_settings,成绩与完成,core,gradebook settings,public/lib/db/install.xml,4,id;courseid;name;value,id,courseid->course.id,,"U:courseid, name"
gradepenalty_duedate_rule,成绩与完成,gradepenalty_duedate,Penalty rules,public/grade/penalty/duedate/db/install.xml,8,id;contextid;sortorder;overdueby;penalty;usermodified;timecreated;timemodified,id,usermodified->user.id,,I:contextid
scale,成绩与完成,core,Defines grading scales,public/lib/db/install.xml,8,id;courseid;userid;name;scale;description;descriptionformat;timemodified,id,userid->user.id,,I:courseid
scale_history,成绩与完成,core,History table,public/lib/db/install.xml,11,id;action;oldid;source;timemodified;loggeduser;courseid;userid;name;scale;description,id,oldid->scale.id;courseid->course.id;loggeduser->user.id;userid->user.id,,I:action;I:timemodified
contentbank_content,文件与内容仓库,core,This table stores content data in the content bank.,public/lib/db/install.xml,11,id;name;contenttype;contextid;visibility;instanceid;configdata;usercreated;usermodified;timecreated;timemodified,id,contextid->context.id;usermodified->user.id;usercreated->user.id,,"I:name;I:contextid, contenttype, instanceid"
h5p,文件与内容仓库,core,Stores H5P content information,public/lib/db/install.xml,9,id;jsoncontent;mainlibraryid;displayoptions;pathnamehash;contenthash;filtered;timecreated;timemodified,id,mainlibraryid->h5p_libraries.id,,I:pathnamehash
h5p_contents_libraries,文件与内容仓库,core,Store which library is used in which content.,public/lib/db/install.xml,6,id;h5pid;libraryid;dependencytype;dropcss;weight,id,h5pid->h5p.id;libraryid->h5p_libraries.id,,
h5p_libraries,文件与内容仓库,core,Stores information about libraries used by H5P content.,public/lib/db/install.xml,20,id;machinename;title;majorversion;minorversion;patchversion;runnable;fullscreen;embedtypes;preloadedjs;preloadedcss;droplibrarycss;semantics;addto;coremajor;coreminor;metadatasettings;tutorial;example;enabled,id,,,"I:machinename, majorversion, minorversion, patchversion, runnable"
h5p_library_dependencies,文件与内容仓库,core,Stores H5P library dependencies,public/lib/db/install.xml,4,id;libraryid;requiredlibraryid;dependencytype,id,libraryid->h5p_libraries.id;requiredlibraryid->h5p_libraries.id,,
repository,文件与内容仓库,core,This table contains one entry for every configured external repository instance.,public/lib/db/install.xml,4,id;type;visible;sortorder,id,,,
repository_instances,文件与内容仓库,core,This table contains one entry for every configured external repository instance.,public/lib/db/install.xml,10,id;name;typeid;userid;contextid;username;password;timecreated;timemodified;readonly,id,userid->user.id;contextid->context.id,,
repository_onedrive_access,文件与内容仓库,repository_onedrive,List of temporary access grants.,public/repository/onedrive/db/install.xml,6,id;timemodified;timecreated;usermodified;permissionid;itemid,id,usermodified->user.id,,
